,English,Dutch
0,"I would ask the Portuguese Presidency to study the possibility of implementing a complete strategy for the prevention of maritime accidents at European level, using all the means at our disposal - technological, structural and socio-economic - to prevent a disaster such as this from happening again in the future.","Ik wil het Portugese voorzitterschap daarom vragen de mogelijkheid te onderzoeken om op Europees niveau een allesomvattende strategie voor het voorkomen van ongelukken op zee uit te werken. Alle technische, structurele en sociaal-economische instrumenten waarover wij beschikken, moeten worden gecombineerd om herhaling van dergelijke ramp in de toekomst te voorkomen."
1,I really also want to see the EU pioneer patents on living organisms.,Ik wil verder dat de EU het voortouw neemt bij het octrooieren van levende organismen.
2,"I commend to you the arguments set out in the letter from the Legal Affairs Committee which sets out the position, in my view, with precision, clarity and commendable brevity.","Ik verwijs naar de argumenten in de brief van de juridische commissie, waarin dit vraagstuk mijns inziens helder en met prijzenswaardige bondigheid uiteen wordt gezet."
3,"We also notice that, according to the explanatory statement, modernisation does not mean harmonisation of social security arrangements, either, and that harmonisation might be downright damaging as it might place greater demands on weaker Member States at the same time that competitive considerations might exert pressure on others to cut back.","Wij vestigen de aandacht op de vaststelling in het verslag dat modernisering ook geen harmonisatie van de socialezekerheidsstelsels betekent en dat harmonisatie zelfs schadelijk zou zijn, omdat aan zwakkere lidstaten hoge eisen zouden worden gesteld, terwijl de meer sociaal ontwikkelde lidstaten om concurrentieredenen gedwongen zouden zijn hun sociale beschermingsstelsels af te bouwen."
4,"In return for this, however, we want early notification obligations to be discontinued, rather it should just be a matter of the employee taking the justification for the posting to the other Member State along with them, and this might take the form of the contract forming the basis for his/her posting.","In ruil daarvoor willen wij wel dat de verplichte aanmelding vooraf wordt geschrapt en dat de werknemer alleen nog moet kunnen aantonen waarom hij in een andere lidstaat werkt, bijvoorbeeld aan de hand van zijn contract."
5,"Between 1994 and 1999, our regions annually received an average of FF 15.4 billion but will receive only FF 14.7 billion between 2000 and 2006.","Tussen 1994 en 1999 hebben onze regio's gemiddeld 15,4 miljard frank steun ontvangen, maar in de periode 2000-2006 zakt dit bedrag tot 14,7 miljard."
6,Even the area designated by the Commissioners as a special protection area has been destroyed.,"Zelfs het gebied dat de commissarissen juist speciaal hadden beschermd, is nu vernield."
7,But those symptoms and those problems that you mentioned could be there and that could be the effect of the use of depleted uranium.,"Maar de symptomen en de problemen waar u het over heeft kunnen aanwezig zijn, en zouden het gevolg kunnen zijn van de inzet van verarmd uranium."
8,"The damage to your country, Mr President, and to mine, Spain, could be horrendous.",Zowel uw land als het mijne - Spanje - kunnen er vreselijke schade door lijden.
9,"Last week, the new Minister for Finance of the Austrian coalition described the Austrian Parliament as a farce and a theatre.",De nieuwe minister van Financiën van de Oostenrijkse coalitie bestempelde het Oostenrijkse parlement vorige week als een farce en een wassen neus.
10,I am sure the President-in-Office of the Council is a very nice man and is very kind to his wife and his children and his dog.,"Ik ben ervan overtuigd dat de fungerend voorzitter van de Raad een aardige man is die lief is voor zijn vrouw, zijn kinderen en zijn hond."
11,"But it is precisely here that we find the real rationale behind the mantra concerning security, freedom and justice.","Hier vinden we echter het enige rationele element in die goddelijke spreuk van veiligheid, vrijheid en rechtvaardigheid."
12,"I believe that this is a serious issue which we are obliged to follow up, but it should not be dealt with by means of urgent procedure.","Ik meen dat dit onderwerp serieus genoeg is om te behandelen, maar dan niet in het kader van het actualiteitendebat."
13,"Now, in my opinion, given that this is such a serious risk to health, the precautionary principle lays down that this product should immediately be taken off the market, which New Zealand has done, for example.","Volgens mij moet het voorzorgsprincipe bij een dergelijke bedreiging van de volksgezondheid garanderen dat het product onmiddellijk uit de handel wordt genomen, zoals in Nieuw-Zeeland is gebeurd."
14,And it is precisely the medium-sized undertakings and large numbers of employees who suffer as a result.,Het zijn vooral de middenstand en vele werknemers die daar het slachtoffer van worden.
15,"All these complex problems undermine the quality of life for our urban residents, yet we have the potential in these areas to create growth and prosperity.","De kwaliteit van het leven van onze stadsbewoners wordt door al deze complexe problemen ondermijnd, en toch zijn wij bij machte deze gebieden te laten groeien en bloeien."
16,In your speech you mentioned the challenges of globalisation and enlargement which await us. I would add to these the future of our social model.,"In uw toespraak heeft u het gehad over de uitdagingen die ons te wachten staan: de mondialisering, de uitbreiding, en ik zou daar nog aan toevoegen: de toekomst van ons sociale model."
17,rapporteur.,"Mijnheer de Voorzitter, we hebben ons al in eerste lezing over dit verslag mogen buigen en ik heb binnen de commissie begrepen dat er in dit Parlement een ruime consensus over bestaat."
18,"On the contrary, extending the Community' s legal competence within the framework of the third pillar has increased the burden.",De werklast is daarentegen gegroeid omdat de communautaire rechtsbevoegdheden in het kader van de derde pijler zijn toegenomen.
19,Last but not least the pay and benefits package must be reviewed.,Tot slot dient het salaris- en arbeidsvoorwaardenpakket opnieuw te worden bezien.
