,English,German
0,"However, I should like to stress INTERREG' s particular importance for the Balkan area, where political developments and hostilities over the past few years have had major economic repercussions for neighbouring countries and especially for my own country, Greece, which is the only Member State on that long-suffering peninsula.","Ich möchte jedoch auf die besondere Bedeutung von INTERREG für den Balkan hinweisen, wo die politischen Entwicklungen und die kriegerischen Auseinandersetzungen der letzten Jahre erhebliche finanzielle Auswirkungen auf die Nachbarländer hatten, vor allem auf mein Land, Griechenland, das gleichzeitig der einzige Mitgliedstaat auf der leidgeprüften Halbinsel ist."
1,"There are bound to be other applications and this great work, this fine intellectual architecture, will crumble, left behind by events just as we have been left behind by everything that has been happening in the former Yugoslavia for the past 20 years.","Ich bin sicher, daß wir noch weitere Beitrittsgesuche erhalten werden, und dann wird diese schöne Arbeit, dieses schöne intellektuelle Konstrukt in sich zusammenfallen, weil es von den Ereignissen eingeholt worden ist, wie wir in den letzten 20 Jahren von sämtlichen Ereignissen in Ex-Jugoslawien eingeholt worden sind."
2,"We believe that, in the political design of the Union, other issues need to be dealt with.","Wir glauben, daß diese politische Gestaltung der Union die Behandlung weiterer Themen erfordert."
3,The tax would be targeted at the right place: at the speculators.,Die Steuer würde genau die Richtigen treffen: die Spekulanten.
4,"We therefore think that all the measures we have highlighted in terms of long-term strategies, regardless of the fact that we know that in the long term, some of the homeless may be dead, will help us to guarantee sustainable policies in the European Union.","Darum halten wir alle Maßnahmen, auf die wir im Zusammenhang mit längerfristigen Strategien hingewiesen haben - obwohl wir auch wissen, daß einige Obdachlose nach längerer Zeit dann möglicherweise gestorben sind, das ist wahr -, für Maßnahmen, mit denen nachhaltige Politiken im Rahmen der Europäischen Union gewährleistet werden können."
5,"Mr President, what will it take to make the debate on human rights something other than what it is today: an ideological instrument which helps to enslave peoples rather than free individuals?","Herr Präsident, wie können wir erreichen, daß die Diskussionen über die Menschenrechte in anderer Form ablaufen, als es heute der Fall ist? Heutzutage sind sie ein ideologisches Instrument, das zur Unterwerfung der Völker und nicht zur Freiheit der Individuen beiträgt."
6,I think they should have.,Ich würde dies bejahen.
7,"The first problem is that concerning the downward adjustment of social security, which, we hope, will be replaced by high-level convergence.","Erstens kommt es dort zu einer Absenkung des Sozialschutzniveaus, wo wir uns Konvergenz auf einem Niveau erhoffen."
8,"I cannot shake off the impression that, when it comes to human rights, despite all the rhetoric, Africa does not feature on top of the agenda of the Portuguese Presidency.","Ich kann mich nicht des Eindrucks erwehren, daß Afrika, wenn es um Menschenrechte geht, aller Rhetorik zum Trotz auf der Tagesordnung der portugiesischen Präsidentschaft nicht ganz oben steht."
9,All this is well-intentioned advice.,All dies sind gutgemeinte Ratschläge.
10,"I accept that Mr Andersson's report is very well-intentioned, and I respect him for the work he has done, but in my view the way the report defines and promotes social convergence would drive social costs higher throughout the EU.","Ich weiß, daß der Bericht Andersson gut gemeint ist, und ich respektiere Herrn Andersson für die von ihm geleistete Arbeit, aber meiner Ansicht nach würden die im Bericht beschriebenen und empfohlenen Methoden zur Realisierung der sozialen Annäherung die Sozialschutzkosten in der gesamten EU in die Höhe treiben."
11,"We hope that this, at the least, will come about during the evaluation process.","Wir hoffen, daß dies zumindest bei der Bewertung geschieht."
12,I have explained the position of the Commission.,Dabei habe ich den Standpunkt der Kommission erläutert.
13,We want a colourful Europe.,Wir wollen ein buntes Europa.
14,We need to make it evident which problems we are solving and which we have not yet solved.,"Wir müssen zeigen, welche Probleme wir gelöst und für welche wir noch keine Lösung gefunden haben."
15,"There is certainly a need for European civil protection, and the EU budget must also provide for a budget line covering natural disasters.","Es braucht sicherlich einen europaweiten Zivilschutz, und es muß auch eine Haushaltslinie für Naturkatastrophen im EU-Haushalt vorgesehen werden."
16,"It does not compete with the cultural policies implemented in the various Member States. Such policies are necessary, and I would like to see them developed further.","Es steht nicht im Wettbewerb mit der in den einzelnen Mitgliedstaaten betriebenen Kulturpolitik, die notwendig ist, und die ich gerne noch weiterentwickelt sehen würde."
17,"So it is not the Belgrade Government that is responsible, but NATO itself, the imperialists and their interventions.","Verantwortlich ist also nicht die Regierung in Belgrad, sondern die NATO, verantwortlich sind die Imperialisten mit ihren Interventionen."
18,"Turning to the report, we believe that implementing the principle that the cost of water services should be recoverable must never result in additional taxation of the economically weakest strata, or even in the annihilation of small and medium-scale farmers because of the prohibitive cost of water for irrigation.","Was nun den Bericht selbst betrifft, so meinen wir, daß die Anwendung des Grundsatzes der Kostendeckung bei Wasserdienstleistungen keinesfalls zu einer zusätzlichen Besteuerung wirtschaftlich schwächerer Schichten oder gar zur Ausrottung der kleinen und mittleren Landwirte führen darf, die sich dann die Bewässerung ihrer Kulturen vielleicht nicht mehr leisten können."
19,"Let us not forget either that greater consideration should be given to the islands and remote regions of the European Union because their geographical location is a hindrance to their economic and social development, unless of course the Commission is intending to build bridges or underwater tunnels linking them to the European mainland.","Bedenken wir außerdem, daß die entlegenen und Inselregionen der Europäischen Union besondere Beachtung verdienen, denn auf Grund ihrer geographischen Lage sind sie in ihrer wirtschaftlichen und sozialen Entwicklung erheblich benachteiligt - es sei denn, die Kommission beabsichtigt, Brücken zu bauen oder unterseeische Tunnel anzulegen, um sie mit dem europäischen Festland zu verbinden."
20,"Social convergence is also needed before the enlargement of the Union, partly in order to strengthen the social model and partly to combat the risk of social dumping.","Die soziale Konvergenz ist auch für die Erweiterung notwendig. Zum einen, um das soziale Modell zu stärken und zum anderen, um der Gefahr der sozialen Ausgrenzung zu begegnen."
21,"Madam President, I am amazed at Mr Corbett' s reaction.",Frau Präsidentin! Ich bin doch sehr erstaunt über diese Reaktion des Kollegen Corbett.
22,And it is precisely the medium-sized undertakings and large numbers of employees who suffer as a result.,"Es sind gerade die mittelständischen Unternehmen und viele Arbeitnehmer, die darunter leiden."
23,"However, such use of an agreement outside its specific scope cannot be imposed on the two sides of industry without a legal basis.",Eine derartige Anwendung eines Tarifvertrags außerhalb seines personellen Bereichs kann jedoch den Parteien nicht ohne Rechtsgrundlage auferlegt werden.
24,"So we are not just the donors here, we were also the recipients, and we owe it to the Macedonians to thank them for fulfilling a crucial European mission at that time.","Deshalb sind wir hier nicht nur die Gebenden, sondern wir waren auch die Nehmenden, und wir schulden es den Mazedoniern, ihnen dafür zu danken, daß sie damals eine entscheidende europäische Mission erfüllt haben."
25,"Mr President, I would very much just like to add to two particular points.","Herr Präsident, ich würde ganz gern noch schnell zu zwei Punkten etwas sagen."
26,"Needless to say, safety on roads, railways and inland waterways is of key importance and, given the international nature of these types of transport, training for safety advisors should also be harmonised, therefore, as well as the requirements of the new ADR, for example, which is under way.","Selbstverständlich kommt der Verkehrssicherheit auf Straße, Schiene oder Binnenwasserstraßen überaus große Bedeutung zu, und angesichts des internationalen Charakters dieser Transporte ist es erforderlich, die Ausbildungsgänge für Sicherheitsberater sowie die Anforderungen beispielsweise im kommenden neuen ADR zu harmonisieren."
27,"Mr President, I too would like to offer my congratulations to the rapporteur.","Herr Präsident, auch ich möchte dem Berichterstatter gratulieren."
28,"Mr President, Commissioner, I believe that this is an appropriate initiative and that it makes very good sense.","Herr Präsident, Herr Kommissar, liebe Kollegen! Ich halte diese Initiative für zweckdienlich und in jeder Hinsicht sinnvoll."
29,"The increase in the number of CFI judges from 15 to 21 and the opportunity it has recently been accorded to have a single judge rule on specific cases are not real solutions but mere decoys, grudgingly granted, which we have become aware of after the fact.","Die Aufstockung der Zahl der Richter am Gericht erster Instanz von 15 auf 21 und die unlängst eingeführte Möglichkeit, in bestimmten Rechtssachen als Einzelrichter zu entscheiden, sind keine Lösungen, sondern nur Täuschungsmanöver, nach denen es ein böses Erwachen geben wird."
30,"On ratifying the Amsterdam Treaty, all Member States stated that they wanted to accord combating fraud against the financial interests of the European Union the same priority as combating fraud to their own detriment. Yet as things stand, only the first four Member States have ratified the agreement concluded in 1995.","Alle Mitgliedstaaten haben mit der Ratifizierung des Amsterdamer Vertrags bekundet, daß sie der Bekämpfung von Betrug gegen die finanziellen Interessen der Europäischen Union die gleiche Priorität einräumen wollen wie der Bekämpfung von Betrug zu ihren eigenen Lasten, doch die Realität ist die, daß immer noch erst die ersten vier Mitgliedstaaten das 1995 beschlossene Abkommen ratifiziert haben."
31,"According to the general regulations, however, any technical assistance scheme which can claim a connection with a Community initiative must be proposed under Article 20, and not Article 23.","Dennoch muß jede technische Hilfsmaßnahme, für die eine gewisse Verbindung mit einer Gemeinschaftsinitiative nachgewiesen werden kann, gemäß der allgemeinen Verordnung nach Artikel 20, und nicht nach Artikel 23 vorgeschlagen werden."
32,"The next item is questions to the Council (B5-0040/99) and the Commission (B5-0041/99), on behalf of the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs, on the 1999 annual debate on the area of freedom, security and justice (Article 39 of the TEU).","Nach der Tagesordnung folgen die mündlichen Anfragen an den Rat (B5-0040/99) und an die Kommission (B-0041/99 im Namen des Ausschusses für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten zur jährlichen Debatte 1999 über den Raum der Freiheit, der Sicherheit und des Rechts (Artikel 39 VEU)."
33,"Like the rapporteur, I deplore the fact that the figures given in the report do not cover all state aid.","Ebenso wie der Berichterstatter bedaure auch ich, daß die in dem Bericht enthaltenen Zahlen nicht alle staatlichen Beihilfen abdecken."
34,"I am confident that Commissioner Barnier and the President of the European Commission will duly consider Parliament' s position on the matter, in accordance with the Code of Conduct.","Ich vertraue darauf, daß Kommissar Barnier und der Kommissionspräsident den diesbezüglichen Standpunkt des Parlaments gemäß dem Verhaltenskodex gebührend berücksichtigen."
35,Addressing those problems is all the more urgent in view of the marked spread of cities into the surrounding areas and in view of the cities' historical and cultural role.,Die Bewältigung dieser Probleme ist im übrigen auch angesichts der großen Ausstrahlungskraft der Städte auf die umgebende Region sowie ihrer historischen und kulturellen Rolle vordringlich.
36,It is about co-operating on joint projects and about unifying forces on all sides.,Es geht um Zusammenarbeit in gemeinschaftlichen Projekten und die Bündelung aller Kräfte.
37,"I would ask you, ladies and gentlemen, not to start a debate at this point. This was just a procedural motion.","Ich möchte Sie, liebe Kolleginnen und Kollegen, bitten, jetzt keine Debatte zu beginnen; es geht hier um einen Antrag zur Geschäftsordnung."
38,"As I have little time, Mr President, I would like to touch upon two elements of our resolution.","Da ich wenig Zeit habe, möchte ich zwei Fragen unserer Entschließung anschneiden."
39,It is in that quasi-provocative spirit that we have presented an amendment suggesting the transfer of responsibility for south-east Europe from Foreign Affairs to Enlargement.,"In diesem Sinne haben wir, beinahe provokatorisch, einen Änderungsantrag eingebracht, um die Übertragung der Zuständigkeiten für Südosteuropa vom Bereich Außenbeziehungen auf den Bereich Erweiterung anzuregen."
40,Indeed when the plan was initially drawn up they said it would be restricted to cases of fraud against the EU budget.,"Als erstmals ein solcher Plan vorgelegt wurde, hieß es, man werde sich auf Fälle von Betrug gegen den EU-Haushalt beschränken."
41,The European Union must leave fish for local fishermen to feed local populations instead of systematically destroying maritime resources through intensive fisheries.,"Die Europäische Union muß den Fischern vor Ort ihren Fisch lassen, damit sie ihr Volk ernähren können, anstatt mit ihrer Überfischung systematisch den Meeresgrund zu zerstören."
42,"Mr President, I have the honour of being a member of the Convention drafting the Charter so I am not going to ask the presidency to speculate on the contents or whether it thinks the Convention should be declaratory or whether it should have judicial force.","Herr Präsident, ich habe die Ehre, zu der Gruppe zu gehören, welche die Charta ausarbeitet, und ich werde daher nicht vom Rat verlangen, Mutmaßungen über den Inhalt der Charta anzustellen oder Auskunft darüber zu geben, ob die Charta programmatischen Charakter oder Rechtsverbindlichkeit erhalten soll."
43,"It is interesting for me, as a new Member of Parliament, to see that the budget provides for hundreds of millions of euros annually for tobacco cultivation.","Für mich als Neuling im Parlament ist es interessant, festzustellen, daß im Haushalt pro Jahr Hunderte von Millionen Euro für den Tabakanbau vorgesehen sind."
44,My question to the Commissioner is this: what is to be done?,Ich frage den Kommissar: Was soll nun passieren?
45,"In other words, if we are not represented fully in the Commission we will not have an input into policy discussions.","Anders gesagt, wenn wir in der Kommission nicht voll vertreten sind, können wir keinen Einfluß mehr auf die politischen Diskussionen nehmen."
46,I hope that the projects included within the programmes can help to provide solutions to these problems and to implement in practical terms the principle of free movement of workers which is in a bad way in my region!,"Mein Wunsch ist es, daß die Projekte im Rahmen der einzelnen Programme dazu beitragen, Lösungen für diese Probleme zu finden und dem Grundsatz der Freizügigkeit der Arbeitnehmer, mit dem es in meiner Region nicht besonders gut steht, einen konkreten Inhalt zu verleihen."
47,"This has obliged us to abstain from the final vote, because we do not understand how we can ignore the environmental question when deciding which projects must be financed and we do not understand how we can reject the idea that each Member State can dedicate, to URBAN projects, that portion of the Structural Funds which it has not spent in accordance with Community programmes.","Das hat uns gezwungen, uns bei der Endabstimmung der Stimme zu enthalten, weil wir nicht verstehen, wie man bei der Entscheidung über die zu finanzierenden Projekte den Umweltaspekt nicht berücksichtigen kann, und weil wir nicht verstehen, wieso nicht akzeptiert wird, daß jeder Mitgliedstaat den Teil der Strukturfonds, den er gemäß den Gemeinschaftsprogrammen nicht in Anspruch genommen hat, für URBAN-Projekte einsetzen kann."
48,"In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed.","Frau Flautre verwies in ihrem Bericht auch auf einen Bereich, dem es stark an Koordinierung mangelt, wenngleich gerade hier beträchtlicher Koordinierungsbedarf besteht."
49,We are not making the connection so that the citizens can actually do something concretely either at home or in their offices or in industry to support action against global climate change.,"Wir stellen nicht die nötige Verbindung her, damit die Bürger zu Hause oder im Büro oder im Unternehmen tatsächlich etwas unternehmen können, um die gegen die Klimaänderung gerichteten Maßnahmen zu unterstützen."
50,"We have passed 10 000 laws and as many amendments, and the applicant States have had 26 000 documents sent to them which, as debated by the Polish parliament, fill 140 000 sides of paper.","Es gibt bereits über 10 000 Gesetze und ebenso viele Gesetzesänderungen. Den beitrittswilligen Ländern wurden 26 000 Dokumente übergeben, die in der Lesung des polnischen Parlaments 140 000 Seiten füllen."
51,"I hope there has been an interpretation error, and that he will clarify the matter in his follow-up speech.","Ich hoffe, daß dies nur der Übersetzung zuzuschreiben ist und daß er die von mir angesprochenen Punkte in seiner Erwiderung richtigstellt."
52,The defamation of minorities in newspapers and other media fuels discrimination.,Durch die Diffamierung von Minderheiten in der Presse und anderen Medien wird die Diskriminierung verstärkt.
53,"I support all efforts to close the gap in economic development in infrastructural provisions, including the energy sector.","Ich unterstütze alle Bemühungen, mit denen Mängel bei der wirtschaftlichen Entwicklung im Bereich der Infrastruktur, einschließlich des Energiesektors, beseitigt werden sollen."
54,What we need to avoid doing in the future is compromising competition conditions and disturbing the balance in the markets.,Beeinträchtigungen der Wettbewerbsbedingungen und Störungen des Gleichgewichts auf den Märkten müssen auch in Zukunft vermieden werden.
55,I nonetheless agree with the rapporteur that it is quite unacceptable that most Member States should still not have ratified this Agreement.,"Ich stimme der Berichterstatterin vorbehaltlos zu: Es ist völlig inakzeptabel, daß die meisten Mitgliedstaaten das Übereinkommen noch nicht ratifiziert haben."
56,At a time when we are looking at the whole reform process it is critical that we send the right signal.,"Wichtig ist, daß wir zu einem Zeitpunkt, da wir uns mit dem Reformprozeß insgesamt beschäftigen, das richtige Signal aussenden."
57,One example is the use of peat.,Ein Beispiel dafür ist die Verwendung von Torf.
58,"Such a view is not only a political cop-out, it is positively dangerous.","Ein derartiger Standpunkt ist nicht nur politische Drückebergerei, er ist auch ausgesprochen gefährlich."
59,I think we must do what we can to see that all Members can receive their own national channel.,"Ich denke, wir müssen sehen, was zu tun ist, damit alle Mitglieder die Möglichkeit haben, ihren jeweiligen nationalen Sender empfangen zu können."
60,"With the Amsterdam Treaty, the situation improved decidedly when the number of committee procedures was drastically reduced - as the European Parliament had long wanted - to three procedures, the administrative procedure, the regulatory procedure and the advisory procedure.","Mit dem Vertrag von Amsterdam hat sich die Lage insofern entscheidend verbessert, als die Zahl der Ausschußverfahren - so wie es das Europäische Parlament lange gefordert hatte - drastisch auf drei Verfahren begrenzt wurde, nämlich das Verwaltungsverfahren, das Regelungsverfahren und das Beratungsverfahren."
61,Question No 3 by (H-0027/00):,Anfrage Nr. 3 von (H-0027/00):
62,"In the field of European Union legislation on combating financial crime, the Commission presented a proposal for an amended directive on money laundering.","Im Bereich der rechtlichen Rahmenbedingungen der Union, hinsichtlich der Bekämpfung der Wirtschaftskriminalität, hat die Kommission einen Vorschlag für die Neufassung der Richtlinie zur Geldwäsche vorgelegt."
63,"Secondly, under the reconstruction programme, urgent intervention at the hospital in Mitrovica has already been initiated with a EUR 1 million rehabilitation programme.","Zweitens wurden im Rahmen des Wiederaufbauprogramms erste dringende Maßnahmen im Krankenhaus von Mitrovica durchgeführt, wobei aus dem Sanierungsprogramm Mittel in Höhe von einer Million Euro eingesetzt wurden."
64,"Subject: Worsening situation in Kosovo In Kosovo, the genocide of Serbs and other non-Albanian ethnic groups is continuing and worsening to the extent that Mr Bernard Kouchner himself recently announced that the political situation and the level of security in the area were far from satisfactory.","Betrifft: Verschärfung der Lage im Kosovo Der Völkermord an den Serben und an anderen ethnischen Gruppen im Kosovo außer der albanischen geht weiter und nimmt noch größere Ausmaße an. Selbst Herr Kouchner erklärte vor kurzem, daß die politische Lage und die Sicherheitslage im Kosovo alles andere als gut sei."
65,I hope that the other countries of the region will redouble their efforts to make similar progress.,"Ich hoffe, daß die anderen Länder der Region ihre Bemühungen verstärken werden, um ähnliche Fortschritte erreichen zu können."
66,"Since the author is not present, Question No 7 lapses.","Da der Fragesteller nicht anwesend ist, ist die Anfrage Nr. 7 hinfällig."
67,"Let me mention the latest examples we have seen: Holzmann, a company which receives considerable aid from the German Government; sawmills in former East Germany; and, especially, aid to shipyards.","Wir haben den Fall Holzmann. Dieses Unternehmen erhält von der deutschen Regierung umfangreiche Beihilfen, ebenso Sägewerke in Ostdeutschland, und nicht zuletzt sind die Beihilfen für die Schiffswerften zu nennen."
68,"With this, we believe that we are totally in line with what we agreed.","Damit halten wir uns durchaus an das, was vereinbart war."
69,"Mr President, ""Europe stands for ideals, values and principles.","Herr Präsident! ""Europa steht für Ideale, Werte und Prinzipien."
70,"What, also, will be the role of the food authorities which you are about to set up?","Wie wird die Rolle der Nahrungsmittelbehörden, die Sie einrichten werden, aussehen?"
71,I know that all the Institutions bear some responsibility for the increasing workload of the Commission and for some of the lack of resources. That cannot excuse everything that we came across.,"Mit ist bekannt, daß sich die steigende Arbeitsbelastung der Kommission und teilweise auch die Mittelknappheit auf alle Organe und Einrichtungen auswirken, doch kann dies nicht für alles, worauf wir gestoßen sind, als Entschuldigung herhalten."
72,This means that we need a pressure instrument.,Dafür brauchen wir ein Druckinstrument.
73,There is enormous pressure of expectation following the events that led to the resignation of the previous Commission.,"Nach den Vorgängen, die zum Rücktritt der früheren Kommission geführt haben, besteht ein enormer Erwartungsdruck."
