,English,Spanish
0,But the source is threatening to run dry.,"Sin embargo, la fuente de agua clara amenaza con secarse..."
1,"To really guarantee sustainability - a buzzword which has, since it gained new currency, become relatively devoid of meaning, but we all know what we mean by it - what is needed, amongst other things, is an integrated approach in the countryside towards, for example, tourism and agriculture.","Ahora bien, para garantizar esta sostenibilidad -un término, entretanto, que se ha convertido en algo vacío, pero cuyo significado todos entendemos- es preciso, entre otras cosas, engranar en el campo el turismo y la agricultura."
2,So it is clearly necessary to ask what the EU is doing to protect the euro against counterfeiting.,"Así, es lógico que se plantee la pregunta de qué hace la UE para proteger el euro de falsificaciones."
3,"Austria must take the responsibility on its own shoulders for the often dubious image other countries tend to have of it, rightly or wrongly.","Austria tiene que responder ella misma a la con frecuencia dudosa imagen que reina en el extranjero, justificada o injustificadamente."
4,"Now that the Commission has to consider carefully what resources are required for each activity, this is an example of the kind of activity we ought to avoid: one that is inessential but demanding in terms of resources.","Ahora que la Comisión debe estudiar minuciosamente los recursos que se necesitan para cada actividad, nos encontramos ante un ejemplo de tarea no centralizada, que requiere mayores recursos y que hay que evitar."
5,"In conclusion, while welcoming Commission approval for LEADER+, I am concerned about the time delay between the ending of LEADER II and the commencement of the new programme.","En conclusión, aunque me alegro de que la Comisión haya aprobado LEADER+, me preocupa el lapso de tiempo existente entre el final de LEADER II y el principio del nuevo programa."
6,"Unfortunately, we have recently witnessed the eradication of Serb, Romany, Turkish, and Croatian minorities in Kosovo and we are now wondering what will happen next.","Por desgracia, últimamente estamos viendo que en Kosovo van desapareciendo todas las minorías, la serbia, la roma, la turca, la croata y nos preguntamos qué es lo que va a suceder."
7,"Thank you, Commissioner for your reply.",Agradezco su respuesta a la señora Comisaria.
8,"What we are proposing is that it should not just be a case of having to apply for the EU service provision card for all Member States, rather one should also have the option of applying for it for individual Member States.",Nosotros prevemos que la tarjeta de prestación de servicios de la UE no sólo se tenga que solicitar para todos los Estados miembros sino que también pueda hacerse para países miembros individuales.
9,Mrs Wallström has the floor on behalf of the Commission.,"Tiene la palabra, en nombre de la Comisión, la Sra. Wallström."
10,That modernisation came to be particularly necessary for five reasons.,Esa modernización se hacía particularmente necesaria en cinco puntos.
11,I would remind you that these projects are multiannual.,Recordaría que los proyectos son plurianuales.
12,The Millennium Youth Park project is helping to get young people re-engaged in regenerating their own community and in addition to support for small businesses and social policy we are beginning to see a turnaround of a very deprived urban community.,"El proyecto Millennium Youth Park está contribuyendo a que la gente joven participe de nuevo en la rehabilitación de su propia comunidad, y además de ayudar a las pequeñas empresas y respaldar la política social, estamos empezando a ver cómo se sanea una comunidad urbana muy deprimida."
13,It would be preferable if national governments channelled this money directly to their local governments without a European detour.,"Es mejor que este dinero sea directamente entregado por las administraciones nacionales a las administraciones bajo su control, sin la injerencia europea."
14,"In view of the fact that the Rules of Procedure of the European Parliament do not permit us to table our own resolution condemning Haider' s party, as well as all the parties throughout Europe which disseminate racist slander and which are xenophobic and hostile to immigrant workers, we voted in favour of the compromise resolution. We did so even though we did not agree with some of its recitals or terms, in order to show our solidarity with all those in Austria itself who are opposing the Austrian extreme right and its demagoguery.","(FR) En vista de que el Reglamento del Parlamento Europeo no nos permite presentar nuestra propia resolución de condena al partido de Haider, y a todos los partidos de cualquier país de Europa que dé lugar a infamias racistas, xenófobas y hostiles a los trabajadores inmigrantes, hemos votado la resolución de compromiso sin aprobar varios considerandos o términos, para mostrar nuestra solidaridad con los que, en la propia Austria, se oponen a la extrema derecha austríaca y a su demagogia."
15,"But there was some misunderstanding, for they did receive a letter from somebody else that they felt gave them permission.","Pero ha habido un malentendido, puesto que recibieron una carta de otra persona que les hizo pensar que tenían autorización."
16,We are about to advance into new territory where attitudes and symbols are of great significance.,"Nos encontramos en un territorio de frontera y ahí, señor Presidente, cuentan mucho las actitudes y los símbolos."
17,We will carefully study the planned White Papers and will participate constructively in the work begun or promised.,Estudiaremos cuidadosamente los libros blancos anunciados y nos integraremos de forma constructiva en numerosos trabajos ya iniciados o prometidos.
18,"How will the Commission, as keeper of the Treaties, guarantee that decisions are taken uniformly in matters of competition in London, Palermo, Helsinki and, soon, Budapest and Ankara?","¿Cómo va a garantizar la Comisión, como guardiana de los Tratados, que se decida de manera uniforme en cuestiones de competencia en Londres, Palermo, Helsinki y después en Budapest y Ankara?"
19,The rights conferred by this Charter will have at least two types of beneficiary.,Los derechos conferidos por esa Carta tendrán al menos dos tipos de beneficiarios.
20,"In some of our Member States, voluntary environmental agreements have already been signed to ensure that our ditches, canals and fields are not filled with these ugly and dangerous wrecks, inhabited occasionally by an alarmed farmyard chicken.","En algunos de nuestros Estados ya se firmaron acuerdos medioambientales voluntarios para que en los arcenes, los canales y los campos dejen de acumularse esos restos horribles y peligrosos de donde a veces se ve salir una gallina espantada."
21,"Before the end of March, I propose to present a communication in which I will possibly present legislative texts, that is to say, amendments of specific directives so that discussions may begin in the Council and in Parliament.","Me propongo presentar antes de que termine el mes de marzo una comunicación y en ella es posible que ya pueda presentar textos legislativos, es decir modificaciones de directivas concretas para que se pueda iniciar su discusión en el Consejo y en el Parlamento."
22,"Given that the Commission is represented by Vice-President de Palacio, I believe that, before voting, it would help if the Commission could let us know how ready it is to present this programme, as agreed. Alternatively, Parliament is not ready to examine this programme, as some appear to be suggesting.","Dado que la Comisión está representada por la Vicepresidenta, Sra. de Palacio, creo que antes de votar sería conveniente conocer la situación de la Comisión en relación con su disponibilidad para presentar el programa, tal como se había convenido); o bien el Parlamento no está en condiciones de examinar este programa, como parece que pretenden algunos."
23,If we see in the development of that nuclear power plant that there are concerns about safety we will discuss it with Turkey.,"Si llegamos a observar en el desarrollo de esa central nuclear motivos de preocupación en materia de seguridad, lo hablaremos con Turquía."
24,"Madam President, we cannot and must not accept the fact that we hear ever more frequently of accidents causing major damage on our roads, but also on our railways and waterways, not solely but at least partly because those involved do not take the transport of dangerous goods seriously enough or because - as a result of ignorance or a lack of training on the part of the drivers or others responsible for the various vehicles - a minor accident has all too often become a major disaster.","Señora Presidenta, no podemos ni debemos acostumbrarnos a escuchar cada vez con más frecuencia noticias de accidentes en carretera o en el ferrocarril o en las vías navegables en los que se producen grandes daños, no sólo, pero sí también, porque los afectados no toman suficientemente en serio el tránsito de mercancías peligrosas o porque con mucha frecuencia, debido a la ignorancia o a la deficiente preparación de los conductores o de otros responsables de los diversos medios de transporte, de un pequeño accidente se ha seguido una gran catástrofe."
